sample_id,pond,date,chla,day,
ALC_210608,ALC,6/8/21,13.4,8-Jun,13.4
ALC_210615,ALC,6/15/21,25.3,15-Jun,25.3
ALC_210702,ALC,7/2/21,36,2-Jul,36
ALC_210721,ALC,7/21/21,40.2,21-Jul,40.2
ALC_210727,ALC,7/27/21,40,27-Jul,40
ALC_210802,ALC,8/2/21,106.7,2-Aug,106.7
ALC_220113,ALC,1/13/22,2.3,13-Jan,2.3
ALC_220127,ALC,1/27/22,32.6,27-Jan,32.6
ALC_220209,ALC,2/9/22,40.8,9-Feb,40.8
CAP_210607,CAP,6/7/21,14.9,7-Jun,14.9
CAP_210616,CAP,6/16/21,36.3,16-Jun,36.3
CAP_210701,CAP,7/1/21,14.3,1-Jul,14.3
CAP_210716,CAP,7/16/21,10,16-Jul,10
CAP_210729,CAP,7/29/21,14.8,29-Jul,14.8
CAP_210804,CAP,8/4/21,6.6,4-Aug,6.6
CAP_220113,CAP,1/13/22,125.1,13-Jan,125.1
CAP_220127,CAP,1/27/22,288.4,27-Jan,288.4
CAP_220209,CAP,2/9/22,389.8,9-Feb,389.8
DCSW1_210609,DCSW1,6/9/21,2.3,9-Jun,2.3
DCSW1_210621,DCSW1,6/21/21,2.4,21-Jun,2.4
DCSW1_210701,DCSW1,7/1/21,18.1,1-Jul,18.1
DCSW1_210719,DCSW1,7/19/21,5.9,19-Jul,5.9
DCSW1_210729,DCSW1,7/29/21,13.4,29-Jul,13.4
DCSW1_210804,DCSW1,8/4/21,15.3,4-Aug,15.3
DCSW1_220113,DCSW1,1/13/22,5.7,13-Jan,5.7
DCSW1_220127,DCSW1,1/27/22,9.5,27-Jan,9.5
DCSW1_220209,DCSW1,2/9/22,3.2,9-Feb,3.2
DCSW2_210609,DCSW2,6/9/21,10.9,9-Jun,10.9
DCSW2_210621,DCSW2,6/21/21,21.2,21-Jun,21.2
DCSW2_210701,DCSW2,7/1/21,20.6,1-Jul,
DCSW2_210719,DCSW2,7/19/21,44.7,19-Jul,
DCSW2_210729,DCSW2,7/29/21,71.1,29-Jul,
DCSW2_210804,DCSW2,8/4/21,65.1,4-Aug,
DCSW2_220113,DCSW2,1/13/22,33.1,13-Jan,
DCSW2_220127,DCSW2,1/27/22,132.7,27-Jan,
DCSW2_220209,DCSW2,2/9/22,10.3,9-Feb,
DCSW3_210609,DCSW3,6/9/21,2,9-Jun,
DCSW3_210621,DCSW3,6/21/21,13.4,21-Jun,
DCSW3_210701,DCSW3,7/1/21,3.6,1-Jul,
DCSW3_210719,DCSW3,7/19/21,11.7,19-Jul,
DCSW3_210729,DCSW3,7/29/21,11.3,29-Jul,
DCSW3_210804,DCSW3,8/4/21,17.5,4-Aug,
DCSW3_220113,DCSW3,1/13/22,36.3,13-Jan,
DCSW3_220127,DCSW3,1/27/22,18.8,27-Jan,
DCSW3_220209,DCSW3,2/9/22,22.8,9-Feb,
DOBA4_210607,DOBA4,6/7/21,44.3,7-Jun,
DOBA4_210616,DOBA4,6/16/21,55.8,16-Jun,
DOBA4_210701,DOBA4,7/1/21,40.2,1-Jul,
DOBA4_210716,DOBA4,7/16/21,102,16-Jul,
DOBA4_210729,DOBA4,7/29/21,137.3,29-Jul,
DOBA4_210804,DOBA4,8/4/21,70.1,4-Aug,
DOBA4_220113,DOBA4,1/13/22,40.5,13-Jan,
DOBA4_220127,DOBA4,1/27/22,753.2,27-Jan,
DOBA4_220209,DOBA4,2/9/22,1632.8,9-Feb,
DOBA5_210607,DOBA5,6/7/21,28.2,7-Jun,
DOBA5_210616,DOBA5,6/16/21,7.5,16-Jun,
DOBA5_210701,DOBA5,7/1/21,63.7,1-Jul,
DOBA5_210716,DOBA5,7/16/21,161.2,16-Jul,
DOBA5_210729,DOBA5,7/29/21,304.8,29-Jul,
DOBA5_210804,DOBA5,8/4/21,378.7,4-Aug,
